384.99,260,1
385.33,238,1
385.67,227,1
386.01,326,1
386.35,341,1
386.69,422,1
387.03,482,1
387.37,469,1
387.7,528,1
388.04,591,1
388.38,740,1
388.72,773,1
389.06,906,1
389.4,1018,1
389.74,1100,1
390.08,1154,1
390.42,1177,1
390.75,1361,1
391.09,1506,1
391.43,1680,1
391.77,1896,1
392.11,2053,1
392.45,2239,1
392.79,2539,1
393.13,2689,1
393.46,2870,1
393.8,2991,1
394.14,3285,1
394.48,3478,1
394.82,3920,1
395.16,4320,1
395.5,4525,1
395.84,4759,1
396.17,5219,1
396.51,5483,1
396.85,6142,1
397.19,6451,1
397.53,7112,1
397.87,7741,1
398.21,8477,1
398.54,8866,1
398.88,9509,1
399.22,10249,1
399.56,10899,1
399.9,11545,1
400.24,12489,1
400.58,13550,1
400.91,14161,1
401.25,15310,1
401.59,16840,1
401.93,17482,1
402.27,18675,1
402.61,19789,1
402.94,21609,1
403.28,22517,1
403.62,24525,1
403.96,26264,1
404.3,27657,1
404.64,29340,1
404.97,31629,1
405.31,32409,1
405.65,35622,1
405.99,36852,1
406.33,39424,1
406.67,41140,1
407,42983,1
407.34,44052,1
407.68,45632,1
408.02,46683,1
408.36,46556,1
408.7,48909,1
409.03,48882,1
409.37,50087,1
409.71,49117,1
410.05,48989,1
410.39,48861,1
410.72,46434,1
411.06,44838,1
411.4,44071,1
411.74,41820,1
412.08,39629,1
412.42,37901,1
412.75,36158,1
413.09,34070,1
413.43,30863,1
413.77,29501,1
414.11,28232,1
414.44,25663,1
414.78,23798,1
415.12,22580,1
415.46,20880,1
415.8,19444,1
416.13,18459,1
416.47,17445,1
416.81,16921,1
417.15,15886,1
417.49,15279,1
417.82,14816,1
418.16,14295,1
418.5,13271,1
418.84,13022,1
419.18,12426,1
419.51,12147,1
419.85,11938,1
420.19,11324,1
420.53,10993,1
420.86,10192,1
421.2,10251,1
421.54,9764,1
421.88,9344,1
422.22,8967,1
422.55,8696,1
422.89,8015,1
423.23,7650,1
423.57,7611,1
423.9,6927,1
424.24,6505,1
424.58,6047,1
424.92,5666,1
425.26,5439,1
425.59,4905,1
425.93,4714,1
426.27,4384,1
426.61,3999,1
426.94,3666,1
427.28,3668,1
427.62,3340,1
427.96,3290,1
428.29,2924,1
428.63,2663,1
428.97,2423,1
429.31,2640,1
429.64,2416,1
429.98,2396,1
430.32,2081,1
430.66,1989,1
430.99,2113,1
431.33,1922,1
431.67,1937,1
432.01,1792,1
432.34,1653,1
432.68,1822,1
433.02,1624,1
433.36,1648,1
433.69,1445,1
434.03,1590,1
434.37,1422,1
434.71,1380,1
435.04,1311,1
435.38,1304,1
435.72,1122,1
436.06,1269,1
436.39,1011,1
436.73,968,1
437.07,907,1
437.4,995,1
437.74,871,1
438.08,835,1
438.42,815,1
438.75,785,1
439.09,674,1
439.43,645,1
439.77,575,1
440.1,611,1
440.44,502,1
440.78,637,1
441.11,289,1
441.45,530,1
441.79,452,1
442.13,459,1
442.46,331,1
442.8,358,1
443.14,300,1
443.47,452,1
443.81,373,1
444.15,350,1
444.48,344,1
444.82,288,1
445.16,141,1
445.5,294,1
445.83,394,1
446.17,264,1
446.51,175,1
446.84,130,1
447.18,72,1
